number,type,name,Lng,Lat
336,岛内常规公交线路,厦门茶厂站点,118.0902838,24.48621585
337,轮渡线路,厦门轮渡码头(1号厅)站点,118.0685581,24.45782741
338,轮渡线路,厦门轮渡码头(2号厅)站点,118.0685581,24.45782741
339,定制公交线路,县后公交场站站点,118.0675802,24.4667071
340,跨区常规公交线路,友达南门站点,118.2092662,24.66035509
341,跨区常规公交线路,友达生活区站点,118.1994448,24.66570455
342,跨区常规公交线路,友达站点,118.2091154,24.66792283
343,跨区常规公交线路,双十中学(万益广场)站点,118.1501356,24.51994641
344,岛内常规公交线路,双十中学思明分校站点,118.1805369,24.47897798
345,岛内常规公交线路,双十中学枋湖校区站点,118.1380925,24.51178915
346,岛内常规公交线路,双十中学镇海校区站点,118.0805312,24.45361362
,,,,
348,跨区常规公交线路,双塔二路口站点,118.0935835,24.61903789
349,岛内常规公交线路,双涵路口站点,118.1124152,24.47563174
350,岛内常规公交线路,双狮北路站点,118.07738,24.49332231
351,岛内常规公交线路,双狮南路口站点,118.0715269,24.48949565
352,岛内常规公交线路,双狮南路站点,118.0715269,24.48949565
,,,,
354,跨区常规公交线路,口腔医院集美院区站点,118.0836853,24.46278774
355,轨道交通线路,古地石[地铁]站点,118.1625874,24.49025421
356,岛内常规公交线路,古地石社2站点,118.1628509,24.49152789
357,岛内常规公交线路,古地石社站点,118.1628509,24.49152789
358,岛内常规公交线路,古城西路站点,118.0781033,24.4588451
359,岛内常规公交线路,古楼公交场站站点,117.9762466,24.49344858
360,漳州城际公交线路,古楼农场站点,117.9781477,24.49086967
361,岛内常规公交线路,古楼路口站点,118.1658139,24.46989899
362,岛内常规公交线路,台东路站点,118.1899512,24.49242164
363,岛内常规公交线路,台南路口站点,118.1863532,24.48725467
364,跨区常规公交线路,叶厝站点,118.104506,24.60055794
365,岛内常规公交线路,吉家家世界总站站点,118.1494214,24.51212615
366,岛内常规公交线路,吉家家世界站点,118.1494214,24.51212615
367,跨区常规公交线路,同安一中滨海校区站点,118.1251622,24.43462202
368,跨区常规公交线路,同安一中站点,118.1503394,24.73950186
369,跨区常规公交线路,同安一小西洋校区站点,118.1406213,24.49437474
370,跨区常规公交线路,同安劳动力市场站点,118.1406213,24.49437474
371,跨区常规公交线路,同安区政府站点,118.1471327,24.72594406
372,跨区常规公交线路,同安城东工业区站点,118.1689715,24.72848612
373,跨区常规公交线路,同安文体中心站点,118.1406213,24.49437474
374,跨区常规公交线路,同安新城指挥部站点,118.1418626,24.66946217
375,跨区常规公交线路,同安法院站点,118.1526988,24.72896975
376,跨区常规公交线路,同安海关站点,118.1439641,24.65870675
377,跨区常规公交线路,同安电视台站点,118.1531109,24.72777257
378,跨区常规公交线路,同安第二实小站点,118.1439641,24.65870675
379,跨区常规公交线路,同宏路口站点,118.1078296,24.71149259
380,跨区常规公交线路,同美站点,118.2108722,24.67177292
381,跨区常规公交线路,同辉路口站点,118.1152191,24.69766573
382,跨区常规公交线路,同龙二路站点,118.1807441,24.68049696
,,,,
384,跨区常规公交线路,后仓路口站点,118.235302,24.57055653
385,定制公交线路,后吴站点,118.1612059,24.67341658
386,岛内常规公交线路,后坑前社站点,118.1212057,24.80553486
387,岛内常规公交线路,后坑后社站点,118.1485021,24.49941479
388,岛内常规公交线路,后坑后站点,118.1212057,24.80553486
389,岛内常规公交线路,后坑幼儿园站点,118.1495769,24.49622122
390,轨道交通线路,后埔[地铁]站点,118.0610267,24.62867524
391,跨区常规公交线路,后山头路站点,117.9700775,24.58481868
392,跨区常规公交线路,后房站点,118.23652,24.58457691
